0   ELMNTNAME SY G P B
    231.03 14 1 7 1841 4300
    1913 RN 5F2 6D1 7S2
    180 000 36
92  URANIUM U 3 7 F
    238.02 14 1 6 1405 4091
    1789 RN 5F3 6D1 7S2
    175 000 36
93  NEPTUNIUM NP 3 7 F
    237.00 14 1 7 0913 4175
    1940 RN 5F4 6D1 7S2
    175 000 36
94  PLUTONIUM PU 3 7 F
    244.00 14 1 6 0913 3508
    1940 RN 5F6 7S2
    175 000 36
95  AMERICIUM AM 3 7 F
    243.00 14 1 8 1267 2880
    1944 RN 5F7 7S2
    175 000 37
96  CURIUM CM 3 7 F
    247.00 14 1 8 1613 3383
    1944 RN 5F7 6D1 7S2
    000 000 37
97  BERKELIUM BK 3 7 F
    247.00 14 1 8 1259 2900
    1949 RN 5F9 7S2
    000 000 37
98  CALIFORNIUM CF 3 7 F
    251.00 14 1 8 1173 1743
    1950 RN 5F10 7S2
    000 000 37
99  EINSTEINIUM ES 3 7 F
    252.00 14 1 8 1133 1269
    1952 RN 5F11 7S2
    000 000 37
100 FERMIUM FM 3 7 F
    257.00 14 4 8 1800 0000
    1952 RN 5F12 7S2
    000 000 37
101 MENDELEVIUM MD 3 7 F
    258.00 14 4 8 1100 0000
    1955 RN 5F13 7S2
    000 000 37
102 NOBELIUM NO 3 7 F
    259.00 14 4 8 1100 0000
    1958 RN 5F14 7S2
    000 000 37
103 LAWRENCIUM LR 3 7 D
    262.00 14 4 8 1900 0000
    1961 RN 5F14 7S2 7P1
    000 000 37
104 RUTHERFORDIUM RF 4 7 D
    265.00 15 4 8 2400 5800
    1964 RN 5F14 6D2 7S2
    000 000 37
105 DUBNIUM DB 5 7 D
    268.00 15 4 8 0000 0000
    1967 RN 5F14 6D3 7S2
    000 000 37
106 SEABORGIUM SG 6 7 D
    271.00 15 4 8 0000 0000
    1974 RN 5F14 6D4 7S2
    000 000 37
107 BOHRIUM BH 7 7 D
    270.00 15 4 8 0000 0000
    1981 RN 5F14 6D5 7S2
    000 000 37
108 HASSIUM HS 8 7 D
    277.00 15 4 8 0000 0000
    1984 RN 5F14 6D6 7S2
    000 000 37
109 MEITNERIUM MT 9 7 D
    276.00 21 4 8 0000 0000
    1982 RN 5F14 6D7 7S2
    000 000 37
110 DARMSTADTIUM DS 10 7 D
    281.00 21 4 8 0000 0000
    1994 RN 5F14 6D8 7S2
    000 000 37
111 ROENTGENIUM RG 11 7 D
    280.00 21 4 8 0000 0000
    1994 RN 5F14 6D9 7S2
    000 000 37
112 COPERNICIUM CN 12 7 D
    285.00 15 4 8 0000 357
    1996 RN 5F14 6D10 7S2
    000 000 37
113 UNUNTRIUM UUT 13 7 P
    286.00 21 4 8 0700 1400
    1998 RN5F14 6D10 7S2 7P1
    000 000 37
114 FLEROVIUM FL 14 7 P
    289.00 16 4 8 0340 0420
    1999 RN5F14 6D10 7S2 7P2
    000 000 37
115 UNUNPENTIUM UUP 15 7 P
    289.00 21 4 8 0670 1400
    2004 RN5F14 6D10 7S2 7P3
    000 000 37
116 LIVERMORIUM LV 16 7 P
    293.00 21 4 8 0709 1085
    2000 RN5F14 6D10 7S2 7P4
    000 000 37
117 UNUNSEPTIUM UUS 17 7 P
    294.00 21 4 8 0723 0883
    2010 RN5F14 6D10 7S2 7P5
    000 000 37
118 UNUNOCTIUM UUO 18 7 P
    294.00 21 4 8 0000 0350
    2006 RN5F14 6D10 7S2 7P6
    000 000 37

